time,x,y,z,dx,dy,dz
4.75,-9.53378214114351,-7.74164331293852,30.382831995253,17.8768958614906,30.3956626050736,-7.17106567027661
4.76,-9.34874906327212,-7.44475881456976,30.2906490940819,18.9941018286644,28.8062993647712,-11.1253233608461
4.77,-9.15390010457022,-7.16551732564308,30.160325528036,19.8378357584449,26.8983109324054,-14.7788655452901
4.78,-8.95199234810321,-6.90679259592164,29.9950717831761,20.4068330498916,24.7344488215419,-18.0974671473323
4.79,-8.7457634435724,-6.67082834921225,29.7983761850894,20.7059006001532,22.376625322374,-21.0592899092878
4.8,-8.53787433610016,-6.45926008947417,29.5738859849903,20.7451389074767,19.8834836233239,-23.6536633542993
4.81,-8.33086066542285,-6.27315867674577,29.3253029180034,20.5390317410776,17.3085238278122,-25.8794932524576
4.82,-8.1270937012786,-6.11308961291792,29.0562961199412,20.105472366625,14.6988194176201,-27.7434682271592
4.83,-7.92875121809036,-5.97918228839337,28.7704335534602,19.4647880600592,12.0942882694992,-29.2582331567918
4.84,-7.73779794007742,-5.87120384752794,28.4711314568053,18.6388142186216,9.52745744316923,-30.440647835945
4.85,-7.55597493371792,-5.78863313952998,28.1616205967413,17.6500512946334,7.02363984131382,-31.3102086199469
4.86,-7.38479691418475,-5.73073105070166,27.8449272844064,16.5209365479025,4.60141730432598,-31.8876986606179
4.87,-7.22555620275988,-5.69660479344346,27.523866623529,15.2732426212841,2.27333495796152,-32.1940877915301
4.88,-7.07933206175907,-5.68526435154243,27.2010455285758,13.9276061672942,0.0467331497040046,-32.2496779297355
4.89,-6.947004079414,-5.69567013044938,26.8788730649343,12.5031796359254,-2.07535920588353,-32.0734688805277
4.9,-6.82926846904056,-5.7267715356601,26.5595761509652,11.0174115771899,-4.09333664444746,-31.6827441583445
4.91,-6.7266558478702,-5.77753686333833,26.2452181817674,9.48592483088902,-6.01014855647732,-31.0928159595251
4.92,-6.63954997242278,-5.84697450678964,25.9377198317747,7.92247935124876,-7.83048492487221,-30.3168928123646
4.93,-6.56820626084523,-5.93414656183577,25.6388803255201,6.33902532080189,-9.56005680439329,-29.366076270615
4.94,-6.51276946600674,-6.03817564287751,25.3503983063624,4.74580885202973,-11.2049581996785,-28.2494299047434
4.95,-6.47329008380463,-6.15824572582935,25.0738917274252,3.15152819790534,-12.7710833582341,-26.974108838445
4.96,-6.44973890204863,-6.29359731004219,24.8109161295935,1.56352415548889,-14.2636416233911,-25.545531432431
4.97,-6.44201960069485,-6.44351855829717,24.5629810987766,-0.0120092969015492,-15.6867552687248,-23.9675795867105
4.98,-6.44997908798666,-6.60733241541669,24.3315645378593,-1.5697928371679,-17.0430847865899,-22.2428316461098
